Year,Month,LSOA_name,LSOA_code,Total_crimes
2018,7,Bath and North East Somerset,E01014462,1
2018,7,Blackburn with Darwen,E01012571,1
2018,7,Blackburn with Darwen,E01012572,1
2018,7,Blackburn with Darwen,E01012573,1
2018,7,Blackburn with Darwen,E01012574,1
2018,7,Blackburn with Darwen,E01012575,1
2018,7,Blackburn with Darwen,E01012576,1
2018,7,Blackburn with Darwen,E01012577,1
2018,7,Blackburn with Darwen,E01012578,1
2018,7,Blackburn with Darwen,E01012579,1
2018,7,Blackburn with Darwen,E01012580,1
2018,7,Blackburn with Darwen,E01012581,1
2018,7,Blackburn with Darwen,E01012582,1
2018,7,Blackburn with Darwen,E01012583,1
2018,7,Blackburn with Darwen,E01012584,1
2018,7,Blackburn with Darwen,E01012585,1
2018,7,Blackburn with Darwen,E01012586,1
2018,7,Blackburn with Darwen,E01012587,1
2018,7,Blackburn with Darwen,E01012588,1
2018,7,Blackburn with Darwen,E01012589,1
2018,7,Blackburn with Darwen,E01012590,1
2018,7,Blackburn with Darwen,E01012591,1
2018,7,Blackburn with Darwen,E01012592,1
2018,7,Blackburn with Darwen,E01012593,1
2018,7,Blackburn with Darwen,E01012594,1
2018,7,Blackburn with Darwen,E01012595,1
2018,7,Blackburn with Darwen,E01012596,1
2018,7,Blackburn with Darwen,E01012597,1
2018,7,Blackburn with Darwen,E01012598,1
2018,7,Blackburn with Darwen,E01012599,1
2018,7,Blackburn with Darwen,E01012600,1
2018,7,Blackburn with Darwen,E01012601,1
2018,7,Blackburn with Darwen,E01012602,1
2018,7,Blackburn with Darwen,E01012603,1
2018,7,Blackburn with Darwen,E01012604,1
2018,7,Blackburn with Darwen,E01012605,1
2018,7,Blackburn with Darwen,E01012606,1
2018,7,Blackburn with Darwen,E01012607,1
2018,7,Blackburn with Darwen,E01012608,1
2018,7,Blackburn with Darwen,E01012609,1
2018,7,Blackburn with Darwen,E01012610,1
2018,7,Blackburn with Darwen,E01012611,1
2018,7,Blackburn with Darwen,E01012612,1
2018,7,Blackburn with Darwen,E01012613,1
2018,7,Blackburn with Darwen,E01012614,1
2018,7,Blackburn with Darwen,E01012615,1
2018,7,Blackburn with Darwen,E01012616,1
2018,7,Blackburn with Darwen,E01012617,1
2018,7,Blackburn with Darwen,E01012618,1
2018,7,Blackburn with Darwen,E01012619,1
2018,7,Blackburn with Darwen,E01012620,1
2018,7,Blackburn with Darwen,E01012621,1
2018,7,Blackburn with Darwen,E01012622,1
2018,7,Blackburn with Darwen,E01012623,1
2018,7,Blackburn with Darwen,E01012624,1
2018,7,Blackburn with Darwen,E01012625,1
2018,7,Blackburn with Darwen,E01012628,1
2018,7,Blackburn with Darwen,E01012629,1
2018,7,Blackburn with Darwen,E01012630,1
2018,7,Blackburn with Darwen,E01012631,1
2018,7,Blackburn with Darwen,E01012632,1
2018,7,Blackburn with Darwen,E01012633,1
2018,7,Blackburn with Darwen,E01012634,1
2018,7,Blackburn with Darwen,E01012635,1
2018,7,Blackburn with Darwen,E01012636,1
2018,7,Blackburn with Darwen,E01012637,1
2018,7,Blackburn with Darwen,E01012638,1
2018,7,Blackburn with Darwen,E01012639,1
2018,7,Blackburn with Darwen,E01012640,1
2018,7,Blackburn with Darwen,E01012641,1
2018,7,Blackburn with Darwen,E01012642,1
2018,7,Blackburn with Darwen,E01012643,1
2018,7,Blackburn with Darwen,E01012644,1
2018,7,Blackburn with Darwen,E01012645,1
2018,7,Blackburn with Darwen,E01012646,1
2018,7,Blackburn with Darwen,E01012647,1
2018,7,Blackburn with Darwen,E01012648,1
2018,7,Blackburn with Darwen,E01012649,1
2018,7,Blackburn with Darwen,E01012650,1
2018,7,Blackburn with Darwen,E01012651,1
2018,7,Blackburn with Darwen,E01012652,1
2018,7,Blackburn with Darwen,E01012653,1
2018,7,Blackburn with Darwen,E01012654,1
2018,7,Blackburn with Darwen,E01012655,1
2018,7,Blackburn with Darwen,E01012656,1
2018,7,Blackburn with Darwen,E01012657,1
2018,7,Blackburn with Darwen,E01012658,1
2018,7,Blackburn with Darwen,E01012659,1
2018,7,Blackburn with Darwen,E01012660,1
2018,7,Blackburn with Darwen,E01012661,1
2018,7,Blackburn with Darwen,E01032485,1
2018,7,Blackburn with Darwen,E01032486,1
2018,7,Blackpool,E01012662,1
2018,7,Blackpool,E01012663,1
2018,7,Blackpool,E01012664,1
2018,7,Blackpool,E01012665,1
2018,7,Blackpool,E01012666,1
2018,7,Blackpool,E01012667,1
2018,7,Blackpool,E01012668,1
2018,7,Blackpool,E01012669,1
2018,7,Blackpool,E01012670,1
2018,7,Blackpool,E01012671,1
2018,7,Blackpool,E01012672,1
2018,7,Blackpool,E01012673,1
2018,7,Blackpool,E01012674,1
2018,7,Blackpool,E01012675,1
2018,7,Blackpool,E01012676,1
2018,7,Blackpool,E01012677,1
2018,7,Blackpool,E01012678,1
2018,7,Blackpool,E01012679,1
2018,7,Blackpool,E01012680,1
2018,7,Blackpool,E01012681,1
2018,7,Blackpool,E01012682,1
2018,7,Blackpool,E01012683,1
2018,7,Blackpool,E01012684,1
2018,7,Blackpool,E01012685,1
2018,7,Blackpool,E01012686,1
2018,7,Blackpool,E01012687,1
2018,7,Blackpool,E01012688,1
2018,7,Blackpool,E01012689,1
2018,7,Blackpool,E01012690,1
2018,7,Blackpool,E01012691,1
2018,7,Blackpool,E01012692,1
2018,7,Blackpool,E01012693,1
2018,7,Blackpool,E01012694,1
2018,7,Blackpool,E01012695,1
2018,7,Blackpool,E01012696,1
2018,7,Blackpool,E01012697,1
2018,7,Blackpool,E01012698,1
2018,7,Blackpool,E01012699,1
2018,7,Blackpool,E01012700,1
2018,7,Blackpool,E01012701,1
2018,7,Blackpool,E01012702,1
2018,7,Blackpool,E01012703,1
2018,7,Blackpool,E01012704,1
2018,7,Blackpool,E01012705,1
2018,7,Blackpool,E01012706,1
2018,7,Blackpool,E01012707,1
2018,7,Blackpool,E01012708,1
2018,7,Blackpool,E01012709,1
2018,7,Blackpool,E01012710,1
2018,7,Blackpool,E01012711,1
2018,7,Blackpool,E01012712,1
2018,7,Blackpool,E01012713,1
2018,7,Blackpool,E01012714,1
2018,7,Blackpool,E01012715,1
2018,7,Blackpool,E01012716,1
2018,7,Blackpool,E01012717,1
2018,7,Blackpool,E01012718,1
2018,7,Blackpool,E01012719,1
2018,7,Blackpool,E01012720,1
2018,7,Blackpool,E01012721,1
2018,7,Blackpool,E01012722,1
2018,7,Blackpool,E01012723,1
2018,7,Blackpool,E01012724,1
2018,7,Blackpool,E01012725,1
2018,7,Blackpool,E01012726,1
2018,7,Blackpool,E01012727,1
2018,7,Blackpool,E01012728,1
2018,7,Blackpool,E01012729,1
2018,7,Blackpool,E01012730,1
2018,7,Blackpool,E01012731,1
2018,7,Blackpool,E01012732,1
2018,7,Blackpool,E01012733,1
2018,7,Blackpool,E01012734,1
2018,7,Blackpool,E01012735,1
2018,7,Blackpool,E01012736,1
2018,7,Blackpool,E01012737,1
2018,7,Blackpool,E01012738,1
2018,7,Blackpool,E01012739,1
2018,7,Blackpool,E01012740,1
2018,7,Blackpool,E01012741,1
2018,7,Blackpool,E01012742,1
2018,7,Blackpool,E01012743,1
2018,7,Blackpool,E01012744,1
2018,7,Blackpool,E01012745,1
2018,7,Blackpool,E01012746,1
2018,7,Blackpool,E01012747,1
2018,7,Blackpool,E01012748,1
2018,7,Blackpool,E01012749,1
2018,7,Blackpool,E01012750,1
2018,7,Blackpool,E01012751,1
2018,7,Blackpool,E01012752,1
2018,7,Blackpool,E01012753,1
2018,7,Blackpool,E01012754,1
2018,7,Blackpool,E01012755,1
2018,7,Bolton,E01004887,1
2018,7,Bolton,E01004888,1
2018,7,Burnley,E01024855,1
2018,7,Burnley,E01024856,1
2018,7,Burnley,E01024857,1
2018,7,Burnley,E01024858,1
2018,7,Burnley,E01024859,1
2018,7,Burnley,E01024860,1
2018,7,Burnley,E01024861,1
2018,7,Burnley,E01024862,1
2018,7,Burnley,E01024863,1
2018,7,Burnley,E01024864,1
2018,7,Burnley,E01024865,1
2018,7,Burnley,E01024866,1
2018,7,Burnley,E01024867,1
2018,7,Burnley,E01024868,1
2018,7,Burnley,E01024869,1
2018,7,Burnley,E01024870,1
2018,7,Burnley,E01024871,1
2018,7,Burnley,E01024872,1
2018,7,Burnley,E01024873,1
2018,7,Burnley,E01024874,1
2018,7,Burnley,E01024875,1
2018,7,Burnley,E01024876,1
2018,7,Burnley,E01024877,1
2018,7,Burnley,E01024878,1
2018,7,Burnley,E01024879,1
2018,7,Burnley,E01024880,1
2018,7,Burnley,E01024881,1
2018,7,Burnley,E01024882,1
2018,7,Burnley,E01024883,1
2018,7,Burnley,E01024884,1
2018,7,Burnley,E01024885,1
2018,7,Burnley,E01024886,1
2018,7,Burnley,E01024887,1
2018,7,Burnley,E01024888,1
2018,7,Burnley,E01024889,1
2018,7,Burnley,E01024890,1
2018,7,Burnley,E01024891,1
2018,7,Burnley,E01024892,1
2018,7,Burnley,E01024893,1
2018,7,Burnley,E01024894,1
2018,7,Burnley,E01024895,1
2018,7,Burnley,E01024896,1
2018,7,Burnley,E01024897,1
2018,7,Burnley,E01024898,1
2018,7,Burnley,E01024899,1
2018,7,Burnley,E01024900,1
2018,7,Burnley,E01024901,1
2018,7,Burnley,E01024902,1
2018,7,Burnley,E01024903,1
2018,7,Burnley,E01024904,1
2018,7,Burnley,E01024905,1
2018,7,Burnley,E01024906,1
2018,7,Burnley,E01024907,1
2018,7,Burnley,E01024908,1
2018,7,Burnley,E01024909,1
2018,7,Burnley,E01024910,1
2018,7,Burnley,E01024911,1
2018,7,Burnley,E01024912,1
2018,7,Burnley,E01024913,1
2018,7,Burnley,E01024914,1
2018,7,Bury,E01005059,1
2018,7,Calderdale,E01010988,1
2018,7,Cheshire East,E01018481,1
2018,7,Chorley,E01024915,1
2018,7,Chorley,E01024916,1
2018,7,Chorley,E01024917,1
2018,7,Chorley,E01024918,1
2018,7,Chorley,E01024919,1
2018,7,Chorley,E01024920,1
2018,7,Chorley,E01024921,1
2018,7,Chorley,E01024922,1
2018,7,Chorley,E01024923,1
2018,7,Chorley,E01024924,1
2018,7,Chorley,E01024925,1
2018,7,Chorley,E01024926,1
2018,7,Chorley,E01024927,1
2018,7,Chorley,E01024928,1
2018,7,Chorley,E01024929,1
2018,7,Chorley,E01024930,1
2018,7,Chorley,E01024931,1
2018,7,Chorley,E01024932,1
2018,7,Chorley,E01024933,1
2018,7,Chorley,E01024934,1
2018,7,Chorley,E01024935,1
2018,7,Chorley,E01024936,1
2018,7,Chorley,E01024937,1
2018,7,Chorley,E01024938,1
2018,7,Chorley,E01024939,1
2018,7,Chorley,E01024940,1
2018,7,Chorley,E01024941,1
2018,7,Chorley,E01024942,1
2018,7,Chorley,E01024943,1
2018,7,Chorley,E01024944,1
2018,7,Chorley,E01024945,1
2018,7,Chorley,E01024946,1
2018,7,Chorley,E01024947,1
2018,7,Chorley,E01024948,1
2018,7,Chorley,E01024949,1
2018,7,Chorley,E01024950,1
2018,7,Chorley,E01024951,1
2018,7,Chorley,E01024952,1
2018,7,Chorley,E01024953,1
2018,7,Chorley,E01024954,1
2018,7,Chorley,E01024955,1
2018,7,Chorley,E01024956,1
2018,7,Chorley,E01024957,1
2018,7,Chorley,E01024958,1
2018,7,Chorley,E01024959,1
2018,7,Chorley,E01024960,1
2018,7,Chorley,E01024961,1
2018,7,Chorley,E01024962,1
2018,7,Chorley,E01024963,1
2018,7,Chorley,E01024964,1
2018,7,Chorley,E01024965,1
2018,7,Chorley,E01024966,1
2018,7,Chorley,E01024968,1
2018,7,Chorley,E01024969,1
2018,7,Chorley,E01024970,1
2018,7,Chorley,E01024971,1
2018,7,Chorley,E01024972,1
2018,7,Chorley,E01024973,1
2018,7,Chorley,E01024974,1
2018,7,Chorley,E01024975,1
2018,7,Chorley,E01024976,1
2018,7,Chorley,E01024977,1
2018,7,Chorley,E01024978,1
2018,7,Chorley,E01024979,1
2018,7,Chorley,E01024980,1
2018,7,Craven,E01027570,1
2018,7,Fylde,E01024981,1
2018,7,Fylde,E01024982,1
2018,7,Fylde,E01024983,1
2018,7,Fylde,E01024984,1
2018,7,Fylde,E01024985,1
2018,7,Fylde,E01024986,1
